iter	Passed	Remaining
0	61	61235
1	61	30761
2	62	20618
3	62	15527
4	62	12479
5	63	10460
6	63	9020
7	63	7932
8	64	7082
9	64	6422
10	65	5885
11	65	5417
12	66	5024
13	66	4684
14	66	4395
15	67	4137
16	67	3906
17	68	3710
18	68	3534
19	68	3372
20	69	3223
21	69	3088
22	69	2969
23	70	2856
24	70	2751
25	70	2658
26	71	2571
27	71	2488
28	72	2411
29	72	2338
30	72	2272
31	73	2210
32	73	2153
33	73	2101
34	74	2050
35	74	2002
36	75	1958
37	75	1912
38	76	1874
39	76	1835
40	77	1801
41	77	1770
42	78	1736
43	78	1702
44	78	1671
45	79	1642
46	79	1614
47	79	1585
48	80	1558
49	80	1532
50	81	1510
51	81	1489
52	82	1465
53	82	1442
54	82	1420
55	82	1398
56	83	1378
57	83	1359
58	84	1341
59	84	1323
60	84	1305
61	85	1291
62	85	1274
63	86	1258
64	86	1243
65	87	1231
66	87	1217
67	87	1202
68	88	1189
69	88	1177
70	89	1164
71	89	1151
72	89	1139
73	90	1127
74	90	1117
75	90	1105
76	91	1095
77	91	1084
78	93	1091
79	93	1080
80	95	1080
81	96	1077
82	96	1067
83	97	1058
84	97	1048
85	97	1038
86	98	1029
87	98	1019
88	98	1009
89	98	1000
90	99	991
91	99	982
92	99	974
93	100	965
94	100	957
95	100	949
96	101	941
97	101	933
98	101	928
99	102	921
100	102	913
101	102	906
102	103	899
103	103	892
104	103	885
105	104	878
106	104	872
107	104	865
108	105	859
109	105	853
110	105	847
111	106	845
112	107	839
113	107	833
114	107	828
115	107	822
116	108	822
117	109	816
118	109	811
119	109	805
120	110	800
121	110	794
122	110	789
123	111	784
124	111	779
125	111	774
126	113	782
127	114	778
128	114	773
129	114	768
130	115	764
131	115	759
132	115	754
133	116	750
134	116	745
135	116	741
136	117	737
137	117	732
138	117	728
139	117	724
140	118	720
141	118	715
142	122	731
143	122	728
144	122	724
145	123	720
146	123	718
147	124	716
148	125	714
149	125	711
